epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1142.44,2.00688,2.45424,1.48132,0.55777,0.45138,0.46233,0.21344,1.91219,1.82506,1.50139,0.000302917,0.000302917,0.000302917
2,2148.8,2.01148,1.95405,1.49951,0.623,0.48007,0.52696,0.24935,1.88029,1.70463,1.48643,0.000575924,0.000575924,0.000575924
3,3106.27,1.96864,1.86349,1.46943,0.67465,0.52243,0.58098,0.28599,1.82332,1.50604,1.42096,0.000818934,0.000818934,0.000818934
4,10301.2,1.92928,1.74163,1.43659,0.67502,0.55336,0.61625,0.30964,1.77052,1.41844,1.40164,0.000774013,0.000774013,0.000774013
5,12916,1.88231,1.62666,1.40387,0.72853,0.56864,0.65689,0.33139,1.73488,1.32672,1.36816,0.000729018,0.000729018,0.000729018
6,18143.3,1.85335,1.52516,1.40019,0.72736,0.5815,0.64952,0.32715,1.77222,1.35572,1.40143,0.000684022,0.000684022,0.000684022
7,19772.2,1.82157,1.42686,1.37667,0.75298,0.6125,0.68451,0.34684,1.72788,1.28446,1.36258,0.000639027,0.000639027,0.000639027
8,21110.1,1.79325,1.3706,1.36211,0.72864,0.62211,0.68433,0.35781,1.71897,1.24262,1.36125,0.000594031,0.000594031,0.000594031
9,22643,1.76902,1.3064,1.34491,0.75559,0.6374,0.71475,0.37362,1.69677,1.18736,1.34573,0.000549036,0.000549036,0.000549036
10,24916.5,1.74675,1.2478,1.32903,0.78379,0.63849,0.7235,0.38287,1.68595,1.14853,1.32736,0.00050404,0.00050404,0.00050404
11,32779.1,1.71844,1.19094,1.30705,0.78934,0.66713,0.74087,0.39188,1.67181,1.1039,1.32177,0.000459045,0.000459045,0.000459045
12,35488.9,1.69551,1.13779,1.29225,0.78156,0.68897,0.7511,0.39577,1.65856,1.07263,1.30762,0.000414049,0.000414049,0.000414049
13,36665.3,1.67717,1.0946,1.27691,0.81327,0.69607,0.76474,0.41289,1.64914,1.0476,1.29598,0.000369054,0.000369054,0.000369054
14,44404,1.65389,1.04986,1.26625,0.80627,0.6976,0.76861,0.41544,1.63758,1.02417,1.29615,0.000324058,0.000324058,0.000324058
15,45354.6,1.62908,1.00629,1.24825,0.81955,0.7175,0.78414,0.429,1.63291,1.00668,1.28161,0.000279063,0.000279063,0.000279063
16,48648.1,1.60728,0.96621,1.23787,0.836,0.72304,0.79203,0.43445,1.61921,0.97146,1.27668,0.000234068,0.000234068,0.000234068
17,52304.5,1.58092,0.92701,1.22314,0.83195,0.72716,0.79567,0.43531,1.61858,0.95756,1.27425,0.000189072,0.000189072,0.000189072
18,54182.2,1.55723,0.89261,1.20649,0.83814,0.73214,0.80414,0.44259,1.61118,0.94578,1.2692,0.000144077,0.000144077,0.000144077
19,55405.8,1.53516,0.85883,1.19652,0.83896,0.73643,0.80874,0.44199,1.60809,0.92863,1.26604,9.9081e-05,9.9081e-05,9.9081e-05
20,56781.3,1.511,0.82899,1.18122,0.8421,0.74533,0.81243,0.44582,1.60705,0.92004,1.26277,5.40855e-05,5.40855e-05,5.40855e-05
