epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1383.48,1.97471,2.58492,1.51788,0.55807,0.38898,0.39968,0.17434,2.03508,2.13399,1.60962,0.0003029,0.0003029,0.0003029
2,2521.47,1.98453,2.06699,1.5425,0.60627,0.44852,0.47976,0.2196,1.92213,1.77956,1.51235,0.000575908,0.000575908,0.000575908
3,3650.92,1.94721,1.97097,1.52809,0.64597,0.48363,0.5338,0.25596,1.90483,1.64288,1.50261,0.000818919,0.000818919,0.000818919
4,9293.39,1.90027,1.85017,1.49749,0.68177,0.52991,0.58074,0.28113,1.81133,1.52898,1.44221,0.000774013,0.000774013,0.000774013
5,10560.9,1.84713,1.70254,1.4523,0.67369,0.57038,0.62468,0.31759,1.78827,1.40734,1.41117,0.000729018,0.000729018,0.000729018
6,11624.5,1.81894,1.59938,1.44372,0.68661,0.55423,0.61836,0.30996,1.77982,1.41116,1.42051,0.000684022,0.000684022,0.000684022
7,16135.5,1.7955,1.50905,1.42691,0.71122,0.56691,0.63681,0.32137,1.76435,1.40341,1.41887,0.000639027,0.000639027,0.000639027
8,17154.5,1.76628,1.43366,1.40414,0.71324,0.59185,0.65545,0.34153,1.74817,1.33222,1.39288,0.000594031,0.000594031,0.000594031
9,20369.7,1.73846,1.36385,1.38076,0.76191,0.60313,0.68253,0.35564,1.74661,1.25542,1.37506,0.000549036,0.000549036,0.000549036
10,21583.8,1.71699,1.31351,1.36636,0.75151,0.619,0.68915,0.364,1.71857,1.24371,1.36694,0.00050404,0.00050404,0.00050404
11,24035.3,1.68772,1.2441,1.34458,0.74357,0.63829,0.70495,0.37627,1.68326,1.20069,1.33623,0.000459045,0.000459045,0.000459045
12,25676.6,1.66844,1.19017,1.32995,0.77095,0.64886,0.72078,0.38843,1.68193,1.16617,1.33354,0.000414049,0.000414049,0.000414049
13,29139.5,1.64473,1.15202,1.31392,0.79365,0.66001,0.73667,0.39795,1.667,1.14046,1.32153,0.000369054,0.000369054,0.000369054
14,30162.8,1.62108,1.09691,1.29436,0.79758,0.66468,0.74156,0.40159,1.66773,1.09831,1.31406,0.000324058,0.000324058,0.000324058
15,31201.5,1.60592,1.06047,1.28612,0.81769,0.66994,0.75373,0.40995,1.65009,1.08348,1.30891,0.000279063,0.000279063,0.000279063
16,32257.4,1.57512,1.01003,1.26905,0.80986,0.68947,0.76285,0.41621,1.64062,1.04207,1.29692,0.000234068,0.000234068,0.000234068
17,42006.4,1.54944,0.9699,1.24685,0.82251,0.70331,0.77694,0.42712,1.63384,1.02346,1.29472,0.000189072,0.000189072,0.000189072
18,43109.6,1.52914,0.93342,1.23651,0.83414,0.70268,0.7825,0.43105,1.62815,0.99378,1.28507,0.000144077,0.000144077,0.000144077
19,44124.7,1.50678,0.89599,1.22127,0.83725,0.71086,0.78776,0.43571,1.6219,0.97873,1.28031,9.9081e-05,9.9081e-05,9.9081e-05
20,48784,1.48377,0.86568,1.21026,0.83553,0.71526,0.79243,0.43921,1.61697,0.96719,1.27554,5.40855e-05,5.40855e-05,5.40855e-05
