epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.589,2.02446,3.30266,1.43346,0.53168,0.35411,0.35348,0.15536,1.99236,2.06492,1.4518,0.000302658,0.000302658,0.000302658
2,941.353,2.02694,2.22502,1.44234,0.49489,0.33994,0.33319,0.14975,2.01833,2.14804,1.4457,0.000572346,0.000572346,0.000572346
3,1459.24,2.01277,2.00931,1.43706,0.49881,0.37163,0.36471,0.15691,1.99608,1.99753,1.44288,0.000808705,0.000808705,0.000808705
4,1768.67,1.97909,1.89055,1.41729,0.56941,0.42799,0.44554,0.21012,1.90656,1.70343,1.38895,0.000759015,0.000759015,0.000759015
5,2441.44,1.9292,1.76935,1.39276,0.64476,0.47547,0.52403,0.2514,1.84776,1.57476,1.36446,0.00070902,0.00070902,0.00070902
6,2753.07,1.89512,1.69429,1.35958,0.61329,0.49339,0.52816,0.25602,1.85418,1.5366,1.34342,0.000659025,0.000659025,0.000659025
7,3513.44,1.86307,1.60802,1.34477,0.66718,0.49401,0.54759,0.27267,1.81238,1.46232,1.31708,0.00060903,0.00060903,0.00060903
8,3812.39,1.85653,1.54843,1.32134,0.68582,0.53418,0.58895,0.29425,1.78781,1.40395,1.29889,0.000559035,0.000559035,0.000559035
9,5380.66,1.82071,1.47146,1.31911,0.66994,0.54375,0.58803,0.29507,1.7882,1.36863,1.30238,0.00050904,0.00050904,0.00050904
10,6265.11,1.80843,1.40657,1.30896,0.6876,0.54499,0.60144,0.3041,1.77544,1.33799,1.29022,0.000459045,0.000459045,0.000459045
11,6855.07,1.78528,1.36104,1.29206,0.70062,0.55758,0.62486,0.32233,1.7549,1.26747,1.27413,0.00040905,0.00040905,0.00040905
12,7134.17,1.75129,1.29583,1.27949,0.73256,0.57454,0.64298,0.33102,1.72302,1.23565,1.25692,0.000359055,0.000359055,0.000359055
13,7418.1,1.73437,1.25472,1.26572,0.73206,0.59426,0.65885,0.343,1.71043,1.19041,1.24552,0.00030906,0.00030906,0.00030906
14,7717.62,1.71085,1.20425,1.25076,0.75736,0.6004,0.67769,0.35475,1.70943,1.15517,1.24667,0.000259065,0.000259065,0.000259065
15,8618.48,1.69033,1.162,1.23217,0.76688,0.60866,0.68805,0.35877,1.69136,1.14019,1.23234,0.00020907,0.00020907,0.00020907
16,8903.95,1.66777,1.12489,1.22254,0.76294,0.62546,0.69647,0.37222,1.67284,1.10718,1.22179,0.000159075,0.000159075,0.000159075
17,9785.78,1.6433,1.08074,1.20581,0.78596,0.62906,0.70622,0.37497,1.67014,1.08382,1.2208,0.00010908,0.00010908,0.00010908
18,10560.4,1.62375,1.05662,1.19881,0.79125,0.63922,0.71289,0.38103,1.66162,1.06647,1.21389,5.9085e-05,5.9085e-05,5.9085e-05
